	new_el	N_Z	N	Z	A	el	o	ME_keV	ME_unc_keV	BE_keV	BE_unc_keV	B	Q_keV	Q_unc_keV	mass_micro_u	mass_unc_micro_u	extrapol	mass_prec
3307		58	155	97	252	Bk	+	78535.0	200.0	7459.0	1.0	B-	2500.0	200.0	252084310.0	215.0	True	
3308		56	154	98	252	Cf	-a	76034.61	2.358	7465.3474	0.0094	B-	-1260.0	50.0	252081626.507	2.531	False	2.9132550938744877
3309		54	153	99	252	Es	-	77294.61	50.056	7457.2428	0.1986	B-	477.9998	50.322	252082979.173	53.736	False	2.731843919124445
3310		52	152	100	252	Fm	-a	76816.611	5.221	7456.0351	0.0207	B-	-3650.5075	91.4356	252082466.019	5.604	False	2.8691359893527144
3311		50	151	101	252	Md	x	80467.118	91.286	7438.4444	0.3622	B-	-2404.2523	91.7581	252086385.0	98.0	False	2.6919421540180766
3312		48	150	102	252	No		82871.37	9.292	7425.7992	0.0369	B-	-5666.0	185.0	252088966.07	9.975	False	2.835869264583963
3313		46	149	103	252	Lr	-a	88537.0	185.0	7400.0	1.0	B-			252095048.0	198.0	True	
3314	0.0	59	156	97	253	Bk	-a	80929.0	359.0	7451.0	1.0	B-	1627.0	359.0	253086880.0	385.0	True	
3315		57	155	98	253	Cf	-a	79301.562	4.257	7454.8297	0.0168	B-	291.0753	4.385	253085133.723	4.57	False	2.880866911962812
3316		55	154	99	253	Es	-a	79010.486	1.249	7452.8879	0.0049	B-	-335.0623	1.0782	253084821.241	1.341	False	2.9473725482538575
3317		53	153	100	253	Fm	-a	79345.549	1.549	7448.4712	0.0061	B-	-1827.0	31.0	253085180.945	1.662	False	2.936046756302974
3318		51	152	101	253	Md	-a	81173.0	31.0	7438.0	0.0	B-	-3186.0	32.0	253087143.0	34.0	True	
3319		49	151	102	253	No		84358.696	6.912	7422.4719	0.0273	B-	-4164.7752	164.6791	253090562.78	7.42	False	2.853308828183862
3320		47	150	103	253	Lr		88523.471	164.534	7402.918	0.6503	B-	-5118.0	442.0	253095033.85	176.634	False	2.6514936631978716
3321		45	149	104	253	Rf	-a	93642.0	410.0	7380.0	2.0	B-			253100528.0	440.0	True	
3322	0.0	60	157	97	254	Bk	x	84393.0	298.0	7440.0	1.0	B-	3052.0	298.0	254090600.0	320.0	True	
3323		58	156	98	254	Cf	-a	81341.395	11.462	7449.2259	0.0451	B-	-652.7561	11.8014	254087323.575	12.304	False	2.823950822972714
3324		56	155	99	254	Es	-a	81994.151	2.936	7443.5759	0.0116	B-	1091.63	2.2858	254088024.337	3.152	False	2.9017047487961425
3325		54	154	100	254	Fm	-a	80902.521	1.843	7444.7936	0.0073	B-	-2550.0	100.0	254086852.424	1.978	False	2.9269768991487184
3326		52	153	101	254	Md	-	83453.0	100.0	7432.0	0.0	B-	-1271.0	100.0	254089590.0	107.0	True	
3327		50	152	102	254	No		84723.312	9.658	7423.5909	0.038	B-	-4922.5753	91.8208	254090954.211	10.367	False	2.834070339318423
3328		48	151	103	254	Lr	-a	89645.887	91.312	7401.1306	0.3595	B-	-3555.0	298.0	254096238.813	98.026	False	2.6924620613315406
3329		46	150	104	254	Rf	-a	93201.0	283.0	7384.0	1.0	B-			254100055.0	304.0	True	
3330	0.0	59	157	98	255	Cf	+	84809.0	200.0	7438.0	1.0	B-	720.0	200.0	255091046.0	215.0	True	
3331		57	156	99	255	Es	-a	84089.237	10.817	7437.8216	0.0424	B-	288.7717	10.1024	255090273.504	11.612	False	2.827614701336962
3332		55	155	100	255	Fm	-a	83800.465	3.934	7435.886	0.0154	B-	-1041.6037	6.7172	255089963.495	4.223	False	2.885726600447611
3333		53	154	101	255	Md	-a	84842.069	5.567	7428.7333	0.0218	B-	-1969.8648	15.1096	255091081.702	5.976	False	2.8661576013290717
3334		51	153	102	255	No		86811.934	14.047	7417.9403	0.0551	B-	-3135.3716	22.5952	255093196.439	15.079	False	2.8120399656218265
3335		49	152	103	255	Lr	x	89947.305	17.698	7402.5767	0.0694	B-	-4382.0	182.0	255096562.399	19.0	False	2.7980562618351277
3336		47	151	104	255	Rf	-a	94329.0	181.0	7382.0	1.0	B-	-5265.0	336.0	255101267.0	194.0	True	
3337		45	150	105	255	Db	-a	99595.0	283.0	7359.0	1.0	B-			255106919.0	304.0	True	
3338	0.0	60	158	98	256	Cf	-a	87041.0	314.0	7432.0	1.0	B-	-144.0	330.0	256093442.0	338.0	True	
3339		58	157	99	256	Es	+	87185.0	100.0	7428.0	0.0	B-	1700.0	100.0	256093597.0	107.0	True	
3340		56	156	100	256	Fm	-a	85484.796	3.02	7431.7888	0.0118	B-	-1971.0	124.0	256091771.699	3.241	False	2.900606124163445
3341		54	155	101	256	Md	IT	87456.0	124.0	7421.0	0.0	B-	-367.0	124.0	256093888.0	133.0	True	
3342		52	154	102	256	No	-a	87823.046	7.548	7416.5429	0.0295	B-	-3923.5573	83.2459	256094281.912	8.103	False	2.8489026709480965
3343		50	153	103	256	Lr	x	91746.603	82.903	7398.1605	0.3238	B-	-2475.3893	84.8025	256098494.024	89.0	False	2.699509587065111
3344		48	152	104	256	Rf	-a	94221.992	17.848	7385.4349	0.0697	B-	-6076.0	188.0	256101151.464	19.16	False	2.7977847614291584
3345		46	151	105	256	Db	-a	100298.0	187.0	7359.0	1.0	B-			256107674.0	201.0	True	
3346	0.0	59	158	99	257	Es	-a	89403.0	411.0	7422.0	2.0	B-	813.0	411.0	257095979.0	441.0	True	
3347		57	157	100	257	Fm	-a	88590.137	4.35	7422.1942	0.0169	B-	-402.3347	4.5748	257095105.419	4.669	False	2.8805465211959302
3348		55	156	101	257	Md	-a	88992.472	1.569	7417.5845	0.0061	B-	-1254.5923	6.1695	257095537.343	1.683	False	2.9362147473888016
3349		53	155	102	257	No	-a	90247.064	6.197	7409.6587	0.0241	B-	-2418.0	45.0	257096884.203	6.652	False	2.860487756759777
3350		51	154	103	257	Lr	-a	92665.0	44.0	7397.0	0.0	B-	-3201.0	45.0	257099480.0	47.0	True	
3351		49	153	104	257	Rf	-a	95866.389	10.817	7381.7053	0.0421	B-	-4287.8969	164.9888	257102916.796	11.612	False	2.828079480714233
3352		47	152	105	257	Db		100154.285	164.634	7361.9767	0.6406	B-			257107520.042	176.741	False	2.652560009395402
