el,A,Z_+,state,ME_keV,ME_unc_keV,Ex_keV,Ex_unc_keV,Ex_origin,t_1_2,t_1_2_unit,t_1_2_unc,JP,T,ensdf,ref,yr,decay,extrapol,Z,N,mass_prec,isolde_yields,isolde_yields_log
22Na,22,118,i,-4524.39,0.19,657.0,0.14,,19.6,ps,0.7,0+,T=1,15.0,,9999,IT=100,False,11,11,9.196186957586683e-09,1.00e+9,20.72326583694641
22Mg,22,120,,-399.99,0.16,,,,3.8745,s,0.0007,0+,,15.0,,1961,B+=100,False,12,10,7.74618867127081e-09,8.00e+6,15.89495209964411
22Mg,22,128,i,13644.0,6.0,14044.0,6.0,p,,,,(4)+,T=2,15.0,,9999,A=?;p=?,False,12,10,2.906797144806391e-07,8.00e+6,15.89495209964411
22Al,22,130,,18200.0,400.0,,,,91.1,ms,0.5,(4)+,,15.0,,1982,B+=100;B+p=55 3;B+2p=1.10 11;B+A=0.038 17,True,13,9,1.9384140717141382e-05,,
22Si,22,140,,33640.0,500.0,,,,28.7,ms,1.1,0+,,15.0,,1987,B+=100;B+p=62 5;B+2p=0.7 3,True,14,8,2.4249840168760255e-05,,
23C,23,60,,,0.0,,,,,,,3/2+.0,,,,9999,n ?,False,6,17,,,
23N,23,70,,36720.0,420.0,,,,13.9,ms,1.4,1/2-.0,,21.0,,1985,B-=100;B-n=42 6;B-2n=8 4;B-3n<3.4,False,7,16,1.9476697002177808e-05,,
23O,23,80,,14620.0,120.0,,,,97,ms,8,1/2+,,21.0,,1970,B-=100;B-n=7 2,False,8,15,5.559406470689696e-06,,
23F,23,90,,3290.0,30.0,,,,2.23,s,0.14,5/2+,,21.0,,1970,B-=100;B-n<14,False,9,14,1.3892056611771704e-06,1.64e+3,7.402451520818244
23Ne,23,100,,-5154.05,0.1,,,,37.15,s,0.03,5/2+*,,21.0,,1936,B-=100,False,10,13,4.629152698665565e-09,5.13e+6,15.450616217146953
23Na,23,110,,-9529.8535,0.0018,,,,stbl,,,3/2+*,,21.0,,1921,IS=100,False,11,12,8.331286047263608e-11,,
23Na,23,118,i,-1638.7,0.3,7891.2,0.3,,,,,5/2+,T=3/2,21.0,,9999,IT=100,False,11,12,1.3890550149812647e-08,,
23Na,23,119,j,10060.6,2.0,19590.4,2.0,,240,zs,120,,T=5/2,21.0,,9999,,False,11,12,9.265385817186406e-08,,
23Mg,23,120,,-5473.67,0.03,,,,11.3039,s,0.0032,3/2+*,,21.0,,1939,B+=100,False,12,11,1.3888915667721383e-09,2.00e+8,19.11382792451231
23Mg,23,128,i,2329.3,0.6,7803.0,0.6,,,,,5/2+,T=3/2,21.0,,1981,IT~100;p=0.17 8,False,12,11,2.778786968412656e-08,2.00e+8,19.11382792451231
23Al,23,130,,6748.1,0.3,,,,446,ms,6,5/2+,,21.0,,1969,B+=100;B+p=1.22 5,False,13,10,1.3897611408596044e-08,,
23Al,23,138,i,18470.0,40.0,11720.0,40.0,p,,,,(5/2)+,T=5/2,21.0,,1997,p=0.10 5;2p=3.6 4,False,13,10,1.8540216278448876e-06,,
23Si,23,140,,23950.0,500.0,,,,42.3,ms,0.4,3/2+.0,,21.0,,1986,B+=100;B+p~88;B+2p=3.6 3,True,14,9,2.318254845390884e-05,,
24N,24,70,,46940.0,400.0,,,,,,<52ns,,,7.0,,9999,n ?,True,7,17,1.7782854374913303e-05,,
24O,24,80,,18500.0,160.0,,,,77.4,ms,4.5,0+,,7.0,,1970,B-=100;B-n=43 4,False,8,16,7.1045675096425434e-06,,
24F,24,90,,7540.0,100.0,,,,384,ms,16,3+,,7.0,,1970,B-=100;B-n<5.9,False,9,15,4.438449558602907e-06,,
24Ne,24,100,,-5951.6,0.5,,,,3.38,m,0.02,0+,,7.0,,1956,"B-=100[gs=0,m=100]",False,10,14,2.2180239102012305e-08,1.64e+6,14.310206799800381
24Na,24,110,,-8417.901,0.017,,,,14.9560,h,0.0015,4+*,,7.0,,1934,B-=100,False,11,13,7.5408889162194e-10,5.50e+8,20.125428836190792
24Na,24,111,m,-7945.694,0.017,472.2074,0.0008,,20.18,ms,0.10,1+,,7.0,,1961,IT~100;B-=0.05,False,11,13,7.541046872785182e-10,5.50e+8,20.125428836190792
24Na,24,118,i,-2450.53,0.13,5967.37,0.13,,,,,0+,T=2,7.0,,9999,,False,11,13,5.768088935106765e-09,5.50e+8,20.125428836190792
24Mg,24,120,,-13933.578,0.013,,,,stbl,,,0+,,7.0,,1920,IS=78.965 49,False,12,12,5.765482263625026e-10,,
24Mg,24,128,i,-4417.3,0.04,9516.28,0.04,,,,,(4+),T=1,7.0,,9999,,False,12,12,1.774743565421714e-09,,
24Mg,24,129,j,1502.8,0.6,15436.4,0.6,,,,,0+,T=2,7.0,,9999,,False,12,12,2.6628147803299047e-08,,
24Al,24,130,,-48.81,0.23,,,,2.053,s,0.004,4+,,7.0,,1953,B+=100;B+A=0.035 6;B+p=0.0016 3,False,13,11,1.0207339657063105e-08,4.52e+3,8.416267272826277
24Al,24,131,m,376.99,0.25,425.8,0.1,,130,ms,3,1+,,7.0,,1968,IT=82.5 30;B+=17.5 30;B+A=0.028 6,False,13,11,1.1095144073593664e-08,4.52e+3,8.416267272826277
24Al,24,138,i,5900.0,3.0,5949.0,3.0,p,,,,0+,T=2,7.0,,9999,,False,13,11,1.3317437183493427e-07,4.52e+3,8.416267272826277
24Si,24,140,,10745.0,19.0,,,,143.2,ms,2.1,0+,,7.0,,1979,B+=100;B+p=34.5 14,False,14,10,8.436675788604396e-07,,
24P,24,150,,34020.0,500.0,,,,,,,1+.0,,,,9999,p ?;B+ ?;B+p ?,True,15,9,2.222602523631987e-05,,
25N,25,70,,55980.0,500.0,,,,,,<260ns,1/2-.0,,9.0,,9999,n ?;2n ?;B- ?,True,7,18,2.134553529605893e-05,,
25O,25,80,,27330.0,170.0,,,,5.18,zs,0.35,3/2+.0,,9.0,,2008,n=100,False,8,17,7.249015980519014e-06,,
25F,25,90,,11330.0,100.0,,,,80,ms,9,(5/2+),,9.0,,1970,B-=100;B-n=23.1 45;B-2n ?,False,9,16,4.261454642313451e-06,,
25Ne,25,100,,-2036.0,29.0,,,,602,ms,8,1/2+*,,9.0,,1970,B-=100,False,10,15,1.235186378383919e-06,6.75e+4,11.119882876860622
25Na,25,110,,-9357.8,1.2,,,,59.1,s,0.6,5/2+*,,9.0,,1943,B-=100,False,11,14,5.109804012723001e-08,2.64e+9,21.694044754104635
25Mg,25,120,,-13192.78,0.05,,,,stbl,,,5/2+*,,9.0,,1920,IS=10.011 13,False,12,13,2.1288546043115176e-09,,
25Mg,25,128,i,-5405.8,0.3,7787.0,0.3,,,,,5/2+,T=3/2,9.0,,9999,,False,12,13,1.2777363922092217e-08,,
25Al,25,130,,-8915.97,0.06,,,,7.1666,s,0.0023,5/2+,,9.0,,1953,B+=100,False,13,12,2.555231525068432e-09,,
25Al,25,138,i,-1014.9,1.8,7901.1,1.8,,,,,5/2+,T=3/2,9.0,,9999,,False,13,12,7.668274829951314e-08,,
25Si,25,140,,3827.0,10.0,,,,220.6,ms,1.0,5/2+,,9.0,,1963,B+=100;B+p=35 2,False,14,11,4.2612664516523005e-07,,
25P,25,150,,20190.0,400.0,,,,,,<30ns,1/2+.0,,9.0,,9999,p ?,True,15,10,1.7057899886767614e-05,,
26O,26,80,,34660.0,160.0,,,,4.2,ps,3.3,0+,,16.0,,2012,2n=100,False,8,18,6.5617620610674364e-06,,
26F,26,90,,18670.0,110.0,,,,8.2,ms,0.9,1+,,16.0,,1979,B-=100;B-n=13.5 40;B-2n ?,False,9,17,4.5084940338988036e-06,,
26F,26,91,m,19310.0,110.0,643.4,0.1,,2.2,ms,0.1,(4+),,16.0,,2013,IT=82 11;B-=?;B-n=12 8,False,9,17,4.508612300381174e-06,,
26Ne,26,100,,481.0,18.0,,,,197,ms,2,0+,,16.0,,1970,B-=100;B-n=0.13 3,False,10,16,7.372430349716456e-07,4.90e+4,10.799575577092764
26Na,26,110,,-6861.0,4.0,,,,1071.28,ms,0.25,3+*,,16.0,,1958,B-=100,False,11,15,1.6379120775085034e-07,5.80e+8,20.17853866150474
26Na,26,111,m,-6779.0,4.0,82.4,0.04,,4.35,us,0.16,1+,,16.0,,1987,IT=100,False,11,15,1.6379175771767157e-07,5.80e+8,20.17853866150474
26Mg,26,120,,-16214.544,0.029,,,,stbl,,,0+,,16.0,,1920,IS=11.025 38,False,12,14,1.1870944581015368e-09,,
26Al,26,130,,-12210.14,0.07,,,,717,ky,24,5+,,16.0,,1934,B+=100,False,13,13,2.8660219390032746e-09,6.80e+4,11.127262984158243
26Al,26,131,m,-11981.83,0.07,228.306,0.013,MD,6346.0,ms,0.5,0+,T=1,16.0,,1934,B+=100,False,13,13,2.866048730068074e-09,6.80e+4,11.127262984158243
26Si,26,140,,-7141.0,0.11,,,,2.2453,s,0.0007,0+,,16.0,,1960,B+=100,False,14,12,4.5049222926065585e-09,,
26Si,26,148,i,5874.0,4.0,13015.0,4.0,p,,,,(3+),T=2,16.0,,9999,,False,14,12,1.6390271857364337e-07,,
26P,26,150,,10970.0,200.0,,,,43.6,ms,0.3,(3)+,,16.0,,1983,B+=100;B+p=35.1 14;B+2p=1.99 21,True,15,11,8.197282036434173e-06,,
26P,26,151,m,11130.0,200.0,164.4,0.1,,115,ns,8,(1+),,16.0,,2014,IT=100,True,15,11,8.197335793132928e-06,,
26S,26,160,,27680.0,600.0,,,,,,<79ns,0+,,16.0,,9999,2p ?,True,16,10,2.4610005634712897e-05,,
27O,27,80,,44670.0,500.0,,,,,,<260ns,3/2+.0,,,,9999,n ?;2n ?,True,8,19,1.9752501398332992e-05,,
27F,27,90,,25130.0,120.0,,,,5.0,ms,0.2,5/2+.0,,11.0,,1981,B-=100;B-n=77 21;B-2n ?,False,9,18,4.737185608041035e-06,,
27Ne,27,100,,7050.0,90.0,,,,30.9,ms,1.1,(3/2+),,11.0,,1977,B-=100;B-n=2.0 5;B-2n ?,False,10,17,3.5505363377835755e-06,2.00e+2,5.298317366548036
27Na,27,110,,-5518.0,4.0,,,,301,ms,6,5/2+*,,11.0,,1968,B-=100;B-n=0.098 24,False,11,16,1.5773145760751356e-07,9.46e+7,18.36516803402211
27Mg,27,120,,-14586.59,0.05,,,,9.435,m,0.027,1/2+*,,11.0,,1934,B-=100,False,12,15,1.9710388982270077e-09,1.50e+7,16.523560759066484
27Al,27,130,,-17196.86,0.05,,,,stbl,,,5/2+*,,11.0,,1922,IS=100,False,13,14,1.9709365776334444e-09,,
27Al,27,138,i,-10383.1,0.7,6813.8,0.7,,,,,1/2+,T=3/2,11.0,,9999,IT=100,False,13,14,2.760052530578598e-08,,
27Si,27,140,,-12384.51,0.11,,,,4.117,s,0.014,5/2+,,11.0,,1939,B+=100,False,14,13,4.33710431748767e-09,,
27Si,27,148,i,-5759.5,2.3,6625.0,2.3,RQ,,,,1/2+,T=3/2,11.0,,1977,IT ?,False,14,13,9.070860266463112e-08,,
27P,27,150,,-659.0,9.0,,,,260,ms,80,1/2+,,11.0,,1977,B+=100;B+p~0.07,False,15,12,3.5503623318856836e-07,,
27P,27,158,i,12010.0,30.0,12670.0,30.0,p,,,,5/2+,T=5/2,11.0,,1991,IT ?,False,15,12,1.1840458643926988e-06,,
27S,27,160,,17490.0,400.0,,,,16.3,ms,0.2,(5/2+),,11.0,,1986,B+=100;B+p=61 3;B+2p=3.0 6,True,16,11,1.579149975257027e-05,,
28O,28,80,,52080.0,700.0,,,,,,<100ns,0+,,13.0,,9999,2n ?;B-=0,True,8,20,2.6671335302871493e-05,,
28F,28,90,,33400.0,120.0,,,,46,zs,,(4-),,13.0,,2012,n=100,False,9,19,4.569201971749793e-06,,
28Ne,28,100,,11300.0,130.0,,,,18.8,ms,0.2,0+,,13.0,,1979,B-=100;B-n=12 1;B-2n=3.7 5,False,10,18,4.946050299868731e-06,,
28Na,28,110,,-988.0,10.0,,,,33.1,ms,1.3,1+*,,13.0,,1969,B-=100;B-n=0.58 12,False,11,17,3.803063220980705e-07,9.60e+5,13.77468856344402
28Mg,28,120,,-15019.95,0.26,,,,20.915,h,0.009,0+,,13.0,,1953,B-=100,False,12,16,9.883176393820044e-09,3.58e+7,17.39345845137093
28Al,28,130,,-16850.72,0.05,,,,2.245,m,0.005,3+*,,13.0,,1934,B-=100,False,13,15,1.90057201780686e-09,4.00e+7,17.50439001207821
28Al,28,138,i,-10858.14,0.11,5992.58,0.1,,,,,0+,T=2,13.0,,9999,,False,13,15,4.182211090808446e-09,4.00e+7,17.50439001207821
28Si,28,140,,-21492.7971,0.0005,,,,stbl,,,0+,,13.0,,1920,IS=92.2545 37,False,14,14,1.9003301236244125e-11,,
28Si,28,145,r,-8951.75,0.05,12541.04,0.05,RQ,,,,(3+),,13.0,,9999,,False,14,14,1.9012363338380427e-09,,
28Si,28,148,i,-12176.88,0.1,9315.92,0.1,,1.5,fs,0.6,3+,T=1,13.0,,9999,,False,14,14,3.8020064098110076e-09,,
28Si,28,149,j,-6265.8,1.0,15227.0,1.0,,,,,(0+),T=2,13.0,,1968,A=90 11;p=10 11,False,14,14,3.8028610634392344e-08,,
28P,28,150,,-7147.9,1.1,,,,270.3,ms,0.5,3+,,13.0,,1953,B+=100;B+p=0.0013 4;B+A=0.00086 25,False,15,13,4.183212589351892e-08,,
28P,28,158,i,-1261.0,20.0,5887.0,20.0,p,,,,0+,T=2,13.0,,9999,,False,15,13,7.607544203881522e-07,,
28S,28,160,,4070.0,160.0,,,,125,ms,10,0+,,13.0,,1982,B+=100;B+p=20.7 19,False,16,12,6.087569275367638e-06,,
28Cl,28,170,,28270.0,500.0,,,,,,>100ns,1+.0,,,,2018,p=100,True,17,11,1.9042123944438817e-05,,
29F,29,90,,40150.0,530.0,,,,2.5,ms,0.3,(5/2+),,12.0,,1989,B-=100;B-n=60 40;B-2n ?,False,9,20,1.9488441498197705e-05,,
29Ne,29,100,,18400.0,150.0,,,,14.7,ms,0.4,(3/2-),,12.0,,1985,B-=100;B-n=28 5;B-2n=4 1,False,10,19,5.511450910327507e-06,,
29Na,29,110,,2680.0,7.0,,,,43.2,ms,0.4,3/2+*,,12.0,,1969,B-=100;B-n=22 3;B-2n ?,False,11,18,2.5706477780646755e-07,3.23e+5,12.685407602204794
29Mg,29,120,,-10612.4,0.3,,,,1.30,s,0.12,3/2+*,,12.0,,1971,B-=100,False,12,17,1.1012209395339458e-08,1.60e+6,14.28551418721001
29Al,29,130,,-18207.8,0.3,,,,6.56,m,0.06,5/2+*,,12.0,,1939,B-=100,False,13,16,1.1009662504845944e-08,4.50e+7,17.622173047734595
29Si,29,140,,-21895.0815,0.0006,,,,stbl,,,1/2+*,,12.0,,1920,IS=4.672 16,False,14,15,2.2017390666544452e-11,,
29Si,29,148,i,-13605.0,5.0,8290.0,5.0,,,,,5/2+,T=3/2,12.0,,9999,IT=100,False,14,15,1.835340884482792e-07,,
29P,29,150,,-16952.8,0.4,,,,4.102,s,0.004,1/2+,,12.0,,1941,B+=100,False,15,14,1.4681619891314976e-08,,
29P,29,158,i,-8571.0,2.5,8381.8,2.4,RQ,,,,5/2+,T=3/2,12.0,,1969,IT=100,False,15,14,9.178836264370079e-08,,
29S,29,160,,-3094.0,13.0,,,,188,ms,4,5/2+.0,,12.0,,1964,B+=100;B+p=46.4 10,False,16,13,4.774181600087397e-07,,
29Cl,29,170,,14020.0,190.0,,,,5.4,zs,1.9,(1/2+),,16.0,,1993,p=100,True,17,12,6.982370110269545e-06,,
29Ar,29,180,,37970.0,440.0,,,,,,>100ns,5/2+.0,,,,2018,2p=100,True,18,11,1.618471336004804e-05,,
30F,30,90,,48960.0,500.0,,,,,,<260ns,,,10.0,,9999,n ?,True,9,21,1.77769165063297e-05,,
30Ne,30,100,,23280.0,250.0,,,,7.22,ms,0.18,0+,,10.0,,1985,B-=100;B-n=13 4;B-2n=8.9 23,False,10,20,8.880758284861927e-06,,
30Na,30,110,,8475.0,5.0,,,,45.9,ms,0.7,2+*,,10.0,,1969,B-=100;B-n=28.6 22;B-2n=1.24 19;B-A=5.5e-5 2,False,11,19,1.775299556826685e-07,4.00e+5,12.89921982609012
30Mg,30,120,,-8881.4,1.3,,,,317,ms,4,0+,,10.0,,1971,B-=100;B-n<0.06,False,12,18,4.613147807461453e-08,6.00e+5,13.304684934198283
30Al,30,130,,-15864.1,1.9,,,,3.62,s,0.06,3+*,,10.0,,1961,B-=100,False,13,17,6.740932012550732e-08,2.50e+6,14.73180128983843
30Si,30,140,,-24432.962,0.022,,,,stbl,,,0+,,10.0,,1924,IS=3.0735 21,False,14,16,7.803275474127162e-10,,
30P,30,150,,-20200.86,0.07,,,,2.5000,m,0.0017,1+*,T=0,10.0,,1934,B+=100,False,15,15,2.483347074496947e-09,,
30P,30,158,i,-19523.85,0.08,677.01,0.03,,,,,0+,T=1,10.0,,9999,,False,15,15,2.838179109295171e-09,,
30S,30,160,,-14059.25,0.21,,,,1.1798,s,0.0003,0+,,10.0,,1961,B+=100,False,16,14,7.452006801251306e-09,,
30Cl,30,170,,4675.0,24.0,,,,,,>100ns,3+.0,,10.0,,2018,p=100,False,17,13,8.522636185394517e-07,,
30Ar,30,180,,22070.0,180.0,,,,<10,ps,,0+,,16.0,,2015,2p=100,True,18,12,6.3962219346362945e-06,,
31F,31,90,,56840.0,540.0,,,,2.0,ms,>260ns,5/2+.0,,13.0,,1999,B- ?;B-n ?;B-2n ?,True,9,22,1.8583491883762215e-05,,
31Ne,31,100,,31180.0,270.0,,,,3.4,ms,0.8,(3/2-),,13.0,,1996,B-=100;B-n ?;B-2n ?,False,10,21,9.283960863255444e-06,,
31Na,31,110,,12246.0,14.0,,,,16.8,ms,0.3,3/2+*,,13.0,,1969,B-=100;B-n=36.0 35;B-2n=0.73 9;B-3n<0.05,False,11,20,4.810987407792014e-07,4.20e+3,8.34283980427146
31Mg,31,120,,-3122.0,3.0,,,,270,ms,2,1/2+*,,13.0,,1977,B-=100;B-n=6.2 19,False,12,19,1.0304274917624387e-07,,
31Al,31,130,,-14950.7,2.2,,,,644,ms,25,5/2+*,,13.0,,1971,B-=100;B-n<1.6,False,13,18,7.553734845083245e-08,2.50e+5,12.429216196844383
31Si,31,140,,-22949.04,0.04,,,,157.16,m,0.20,3/2+,,13.0,,1934,B-=100,False,14,17,1.3730902260715165e-09,,
31P,31,150,,-24440.5444,0.0007,,,,stbl,,,1/2+*,,13.0,,1920,IS=100,False,15,16,2.402891549469331e-11,,
31P,31,158,i,-18059.7,2.0,6380.8,2.0,,,,,3/2+,T=3/2,13.0,,9999,IT=100,False,15,16,6.866908523020795e-08,,
31S,31,160,,-19042.53,0.23,,,,2.5534,s,0.0018,1/2+,,13.0,,1940,B+=100,False,16,15,7.89702899135656e-09,,
31S,31,168,i,-12761.9,0.6,6280.6,0.6,,,,,3/2+,T=3/2,13.0,,9999,,False,16,15,2.0605388640937628e-08,,
31Cl,31,170,,-7035.0,3.0,,,,190,ms,1,3/2+,,13.0,,1977,B+=100;B+p=2.4 2,False,17,14,1.0305178806609474e-07,,
31Cl,31,178,i,5256.0,3.0,12291.0,5.0,RQ,,,,3/2+,T=5/2,,,9999,,False,17,14,1.0309531523558768e-07,,
31Ar,31,180,,11330.0,200.0,,,,15.0,ms,0.3,5/2+*,,13.0,,1986,B+=100;B+p=68.3 3;B+2p=9.0 2;B+pA<0.38;B+3p=0.07 2;B+A<0.03;2p<0.0006,True,18,13,6.8747615619993765e-06,3.40e+1,3.5263605246161616
31K,31,190,,34260.0,300.0,,,,>10,ps,,3/2+.0,,,,2019,3p=100,True,19,12,1.0320735884857588e-05,,
32Ne,32,100,,37000.0,500.0,,,,3.5,ms,0.9,0+,,11.0,,1990,B-=100;B-n ?;B-2n ?,True,10,22,1.6657693648483365e-05,,
32Na,32,110,,18640.0,40.0,,,,12.9,ms,0.3,(3-),,11.0,,1972,B-=100;B-n=26 6;B-2n=7.6 15,False,11,21,1.3318582204125444e-06,1.40e+2,4.941642422609304
32Mg,32,120,,-829.0,3.0,,,,80.4,ms,0.4,0+,,11.0,,1977,B-=100;B-n=5.5 5,False,12,20,9.982895151607587e-08,3.00e+4,10.308952660644293
32Al,32,130,,-11099.0,7.0,,,,32.6,ms,0.5,1+*,,11.0,,1971,B-=100;B-n=0.7 5,False,13,19,2.3286466109890767e-07,,
32Al,32,131,m,-10142.0,7.0,956.6,0.5,,200,ns,20,(4+),,11.0,,1996,IT=100,False,13,19,2.328720747970042e-07,,
32Si,32,140,,-24077.69,0.3,,,,157,y,7,0+,,20.0,,1953,B-=100,False,14,18,9.976036067089661e-09,,
32P,32,150,,-24304.88,0.04,,,,14.269,d,0.007,1+*,,11.0,,1934,B-=100,False,15,17,1.3301853012256433e-09,,
32P,32,158,i,-19232.44,0.07,5072.44,0.06,,,,,0+,T=2,11.0,,9999,IT=100,False,15,17,2.3282170057443946e-09,,
32S,32,160,,-26015.5371,0.0013,,,,stbl,,,0+,,11.0,,1920,IS=94.85 255,False,16,16,4.3230422338858984e-11,,
32S,32,168,i,-19014.1,0.4,7001.4,0.4,,,,,1+,T=1,11.0,,9999,IT=100,False,16,16,1.3304766120562253e-08,,
32S,32,169,j,-13967.58,0.28,12047.96,0.28,,,,,0+,T=2,11.0,,9999,IT=100,False,16,16,9.314899854800829e-09,,
32Cl,32,170,,-13334.7,0.6,,,,298,ms,1,1+,,11.0,,1953,B+=100;B+A=0.054 8;B+p=0.026 5,False,17,15,1.9961778845010784e-08,,
32Cl,32,178,i,-8288.4,0.7,5046.3,0.3,,,,,0+,T=2,11.0,,9999,IT=100,False,17,15,2.3292652555298882e-08,,
32Ar,32,180,,-2200.4,1.8,,,,98,ms,2,0+,,11.0,,1977,B+=100;B+p=35.58 22,False,18,14,5.991010713255411e-08,3.30e+3,8.101677747454572
32K,32,190,,21990.0,400.0,,,,,,,1+.0,,,,9999,p ?,True,19,13,1.3324658917396887e-05,,
32K,32,191,m,22940.0,410.0,950.0,100.0,,,,,4+.0,,,,9999,p ?,True,19,13,1.3658207618856928e-05,,
33Ne,33,100,,46130.0,600.0,,,,,,<260ns,7/2-.0,,11.0,,9999,n ?,True,10,23,1.938823929635704e-05,,
33Na,33,110,,23780.0,450.0,,,,8.2,ms,0.4,(3/2+),,11.0,,1972,B-=100;B-n=47 6;B-2n=13 3,False,11,22,1.4531292097498324e-05,1.30e+1,2.5649493574615367
33Mg,33,120,,4962.9,2.7,,,,92.0,ms,1.2,3/2-*,,11.0,,1979,B-=100;B-n=14 2;B-2n ?,False,12,21,8.713844326630467e-08,3.00e+3,8.006367567650246
33Al,33,130,,-8497.0,7.0,,,,41.46,ms,0.09,5/2+*,,11.0,,1971,B-=100;B-n=8.5 7,False,13,20,2.2582581030116884e-07,4.90e+2,6.194405391104672
33Si,33,140,,-20514.3,0.7,,,,6.18,s,0.18,3/2+*,,11.0,,1971,B-=100,False,14,19,2.257477096985381e-08,,
33P,33,150,,-26337.4,1.1,,,,25.35,d,0.11,1/2+,,20.0,,1951,B-=100,False,15,18,3.546945859196795e-08,,
33S,33,160,,-26585.8583,0.0013,,,,stbl,,,3/2+,,11.0,,1926,IS=0.763 20,False,16,17,4.19198634241181e-11,,
33S,33,168,i,-21106.07,0.13,5479.79,0.13,,,,,1/2+,T=3/2,11.0,,9999,IT=100,False,16,17,4.192727203685288e-09,,
33Cl,33,170,,-21003.3,0.4,,,,2.5038,s,0.0022,3/2+,,11.0,,1940,B+=100,False,17,16,1.2901279990856522e-08,1.41e+2,4.948759890378168
33Cl,33,178,i,-15454.9,0.5,5548.4,0.4,RQ,,,,1/2+,T=3/2,11.0,,9999,IT=100,False,17,16,1.6129486419114643e-08,1.41e+2,4.948759890378168
33Ar,33,180,,-9384.3,0.4,,,,173.0,ms,2.0,1/2+,,11.0,,1964,B+=100;B+p=38.7 8,False,18,15,1.2906655148573909e-08,1.20e+5,11.695247021764184
33K,33,190,,7540.0,200.0,,,,,,<25ns,3/2+.0,,11.0,,9999,p ?,True,19,14,6.457123211728928e-06,,
33Ca,33,200,,31030.0,400.0,,,,,,,5/2+.0,,,,9999,p ?,True,20,13,1.2924587969879434e-05,,
34Ne,34,100,,52840.0,510.0,,,,2.0,ms,>1.5us,0+,,12.0,,2002,B- ?;B-2n ?;B-n ?,True,10,24,1.599776609749842e-05,,
34Na,34,110,,31680.0,600.0,,,,5.5,ms,1.0,1+,,12.0,,1983,B-=100;B-2n~50;B-n~15,False,11,23,1.8809179768011118e-05,2.80e+0,1.0296194171811581
34Mg,34,120,,8323.0,7.0,,,,44.9,ms,0.4,0+,,12.0,,1979,B-=100;B-n=21 7;B-2n<0.1,False,12,22,2.1928875608987063e-07,1.40e+2,4.941642422609304
34Al,34,130,,-2997.6,2.1,,,,53.73,ms,0.13,4-,,12.0,,1977,B-=100;B-n=26 4;B-2n ?,False,13,21,6.576596816692319e-08,8.60e+1,4.454347296253507
34Al,34,131,m,-2951.1,2.1,46.47,0.17,,22.1,ms,0.2,1+*,,,,2012,B-~100;B-n=11 4;B-2n ?,False,13,21,6.576606393851954e-08,8.60e+1,4.454347296253507
34Si,34,140,,-19991.7,0.8,,,,2.77,s,0.20,0+,,12.0,,1971,B-=100,False,14,20,2.504138923399096e-08,,
34Si,34,141,m,-15735.6,0.9,4256.1,0.4,,<210,ns,,(3-),,12.0,,1989,IT=100,False,14,20,2.8175316497470987e-08,,
34P,34,150,,-24548.7,0.8,,,,12.43,s,0.10,1+,,12.0,,1945,B-=100,False,15,19,2.5038831305428678e-08,,
34S,34,160,,-29931.69,0.04,,,,stbl,,,0+,,12.0,,1926,IS=4.365 235,False,16,18,1.251781336872661e-09,,
34Cl,34,170,,-24440.09,0.05,,,,1.5267,s,0.0004,0+,T=1,12.0,,1934,B+=100,False,17,17,1.5650589820873392e-09,2.24e+5,12.319401330837177
34Cl,34,171,m,-24293.73,0.05,146.36,0.027,MD,31.99,m,0.03,3+,T=0,12.0,,1965,B+=55.4 6;IT=44.6 6,False,17,17,1.5650661520320185e-09,2.24e+5,12.319401330837177
34Ar,34,180,,-18378.29,0.08,,,,846.46,ms,0.35,0+,,12.0,,1966,B+=100,False,18,16,2.504671007517492e-09,3.80e+6,15.150511624696614
34Ar,34,188,i,-10444.0,5.0,7934.0,5.0,RQ,,,,1+.0,T=2,12.0,,1969,IT ?,False,18,16,1.5658083418771314e-07,3.80e+6,15.150511624696614
34K,34,190,,-1220.0,200.0,,,,,,<40ns,1+.0,,12.0,,9999,p ?,True,19,15,6.265296921584343e-06,,
34Ca,34,200,,14890.0,300.0,,,,,,<35ns,0+,,12.0,,9999,2p ?,True,20,14,9.403071798174527e-06,,
35Na,35,110,,37830.0,670.0,,,,1.5,ms,0.5,3/2+.0,,11.0,,1983,B-=100;B-n ?;B-2n ?,True,11,24,2.040646444905764e-05,,
35Mg,35,120,,15640.0,270.0,,,,11.3,ms,0.6,"(3/2-,5/",2-),17.0,,1989,B-=100;B-n=52 46;B-2n ?,False,12,23,8.218270012169709e-06,,
35Al,35,130,,-224.0,7.0,,,,38.16,ms,0.21,"(5/2+,3/",2+),11.0,,1979,B-=100;B-n=35.8 17;B-2n ?,False,13,22,2.1297180604168918e-07,5.00e+0,1.6094379124341003
35Si,35,140,,-14390.0,40.0,,,,780,ms,120,7/2-.0,,15.0,,1971,B-=100;B-n<5,False,14,21,1.2165053105393647e-06,,
35P,35,150,,-24857.8,1.9,,,,47.3,s,0.8,1/2+,,11.0,,1971,B-=100,False,15,20,5.776788387211782e-08,,
35S,35,160,,-28846.21,0.04,,,,87.37,d,0.04,3/2+*,,11.0,,1936,B-=100,False,16,19,1.2160663299033716e-09,,
35S,35,168,i,-19691.0,10.0,9155.0,10.0,RQ,,,T=5/2,(1/2:9/2,)+,11.0,,1975,,False,16,19,3.041012240538386e-07,,
